variant,price,Body Type,Engine Type,Displacement,Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Turbo Charger,Transmission Type,Gearbox,Drive Type,Fuel Type,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Top Speed,Front Suspension,Rear Suspension,Steering Type,Steering Column,Turning Radius,Front Brake Type,Rear Brake Type,Length,Width,Height,Boot Space,Seating Capacity,Wheel Base,Front Tread,Kerb Weight,Gross Weight,No. of Doors,Power Steering,Air Conditioner,Heater,Height Adjustable Driver Seat,Accessory Power Outlet,Trunk Light,Vanity Mirror,Rear Reading Lamp,Adjustable Headrest,Rear Seat Centre Arm Rest,Rear AC Vents,Parking Sensors,Foldable Rear Seat,KeyLess Entry,USB Charger,Gear Shift Indicator,Luggage Hook & Net,Additional Features,Tachometer,Leather Wrapped Steering Wheel,Glove Box,Digital Odometer,Dual Tone Dashboard,Digital Cluster,Digital Cluster Size,Upholstery,Rear Window Wiper,Rear Window Washer,Rear Window Defogger,Wheel Covers,Alloy Wheels,Rear Spoiler,Outside Rear View Mirror Turn Indicators,Integrated Antenna,Halogen Headlamps,Roof Rails,Fog Lights,Boot Opening,Tyre Size,Tyre Type,Wheel Size,LED DRLs,LED Taillights,Anti-lock Braking System (ABS),Central Locking,Child Safety Locks,No. of Airbags,Driver Airbag,Passenger Airbag,Side Airbag,Side Airbag-Rear,Day & Night Rear View Mirror,Curtain Airbag,Electronic Brakeforce Distribution (EBD),Seat Belt Warning,Door Ajar Warning,Tyre Pressure Monitoring System (TPMS),Engine Immobilizer,Electronic Stability Control (ESC),Rear Camera,Speed Alert,Pretensioners & Force Limiter Seatbelts,Hill Assist,Radio,Integrated 2DIN Audio,Bluetooth Connectivity,Touchscreen,Touchscreen Size,Internal Storage,Usb Ports,Speakers,Android Auto,Apple CarPlay,No. of Speakers,Adjustable Steering,Rear Seat Headrest,Connectivity,Alloy Wheel Size Front,Alloy Wheel Size Rear,Antenna,Tweeters,front_seat_comfort_score,rear_seat_comfort_score,under_thigh_support_score,rear_seat_recline_score,gear_lever_feel_score,bump_absorption_score,cabin_noise_insulation_score,suspension_feel_score,body_roll_control_score,small_storage_score,steering_feedback_score,throttle_response_score,clutch_feel_score,brake_response_score,material_quality_score,instrument_cluster_readability_score,infotainment_responsiveness_score,sound_system_quality_score,Automatic Climate Control,Engine Start/Stop Button,Central Console Armrest,Tailgate Ajar Warning,Drive Modes,Idle Start-Stop System,Drive Mode Types,Power Windows,Cup Holders,Adjustable Headlamps,Projector Headlamps,Outside Rear View Mirror (ORVM),LED Headlamps,ISOFIX Child Seat Mounts,Wireless Phone Charging,SOS Button,RSA,Over Speeding Alert,Remote Door Lock/Unlock,Remote Vehicle Ignition Start/Stop,Geo-fence Alert,Rear Touchscreen,Bharat NCAP Safety Rating,Bharat NCAP Child Safety Rating,Petrol Highway Mileage,0-100Kmph (Tested),Speed Sensing Auto Door Lock,Xenon Headlamps,Global NCAP Safety Rating,Global NCAP Child Safety Rating,Diesel Mileage ARAI,Diesel Fuel Tank Capacity,Electric Adjustable Seats,Air Quality Control,Lumbar Support,Cruise Control,Hands-Free Tailgate,Glove Box light,Automatic Headlamps,Follow Me Home Headlamps,Rain Sensing Wiper,Sunroof,Heated Outside Rear View Mirror,Puddle Lamps,LED Fog Lamps,Anti-Theft Alarm,Traction Control,Anti-Theft Device,Anti-Pinch Power Windows,Hill Descent Control,Blind Spot Monitor,Battery Capacity,Motor Power,Motor Type,Range,Range - Tested,Battery Type,Charging Time (D.C),Charging Port,Charger Type,Charging Time (15 A Plug Point),Acceleration 0-60kmph,Braking (100-0kmph),City driveability (20-80kmph),Braking (80-0 kmph),Chrome Grille,Chrome Garnish,E-Call & I-Call,Running Cost,Shock Absorbers Type,Ground Clearance Unladen,Rear Tread,Voice Commands,Paddle Shifters,Brake Assist,Lane Keep Assist,Road Departure Mitigation System,Adaptive Cruise Control,Leading Vehicle Departure Alert,Adaptive High Beam Assist,Google / Alexa Connectivity,Smartwatch App,Smart Access Card Entry,Rear Curtain,Rear Window Sunblind,Leather wrap gear-shift selector,Acoustic Vehicle Alert System,Blind Spot Camera,Impact Sensing Auto Door Unlock,Forward Collision Warning,Lane Change Indicator,USB & Auxiliary input,Lane Departure Warning,Steering Gear Type,360 View Camera,Fuel Supply System,Reported Boot Space,Ventilated Seats,Height Adjustable Front Seat Belts,Cooled Glovebox,Voice assisted sunroof,Inbuilt Apps,Blind Spot Collision Avoidance Assist,Driver Attention Warning,Rear Cross Traffic Alert,Rear Cross Traffic Collision-Avoidance Assist,Remote Immobiliser,Remote Vehicle Status Check,Digital Car Key,Over the Air (OTA) Updates,Subwoofer,Rear Windscreen Sunblind,CNG Mileage ARAI,CNG Fuel Tank Capacity,Secondary Fuel Type,Petrol Fuel Tank Capacity (Litres),Charging Time (A.C),Regenerative Braking,Regenerative Braking Levels,Charging Options,Charging Time (50 kW DC Fast Charger),Acceleration 0-100kmph,Charging,58Min-50kW(10-80%),Real-Time Vehicle Tracking,Battery Saver,Vehicle to Load Charging,Folding Table in The Rear,Automatic Emergency Braking,Live Location,Inbuilt Assistant,Hinglish Voice Commands,Send POI to Vehicle From App,Live Weather,Save Route/Place,SOS / Emergency Assistance,Inbuilt APPs,Valve Configuration,Knee Airbags,Fog Lights - Front,Fog Lights - Rear,Power Antenna,Oncoming Lane Mitigation,Speed Assist System,Traffic Sign Recognition,Lane Departure Prevention Assist,Autonomous Parking,Active noise cancellation,Ambient  Light Colour (numbers),Remote Boot Open,Diesel Highway Mileage,Cornering Headlamps,Cornering Foglamps,Navigation with Live Traffic,Lighting,Tow Away Alert,Trunk Opener,Sun Roof,Heads-Up Display (HUD),Unauthorised Vehicle entry,Valet Mode,Remote AC On/Off,Side Stepper,Remote Fuel Lid Opener,Rear Entertainment System,Rear Touch Screen size,Heated Seats,Roof Carrier,Engine Start Alarm,Cigarette Lighter,Headlamp Washers,Tinted Glass,Smoke Headlamps,20Min with 140 kW DC,20Min with 180 kW DC,Low Fuel Warning Light,Fabric Upholstery,Digital Clock,Ground Clearance (Laden),MirrorLink,Wi-Fi Connectivity,PUC Expiry,Insurance Expiry,E-Manual,Crash Notification,In Car Remote Control App,CNG Highway Mileage,Emission Control System,Approach Angle,Departure Angle,Break-over Angle,Convertible Top,Battery Warranty,Charging Time (7.2 kW AC Fast Charger),6H 30 Min-AC-7.2 kW (0-100%),Electronic Multi-Tripmeter,Leather Seats,Unnamed: 79,Unnamed: 195,Petrol Mileage (ARAI),Acceleration,0-100kmph,Braking (60-0 kmph),3.3KW 7H (0-100%),7.5KW 3.5H(0-100%),55 Min-DC-50kW (0-80%),9H | AC 7.4 kW (0-100%),Wireless Charging,Electric Fuel Tank Capacity,Boot Space Rear Seat Folding,Own Your Dream with the All-New Skoda Kylaq,40Min-60kW-(10-80%),Vechicle to Vehicle Charging,40Min-70kW-(10-80%),56 Min-50 kW(10-80%),Audio System Remote Control,Compass,2.6H-AC-7.2 kW (10-100%),3.6H-AC-7.2 kW (10-100%),Power Door Locks,Passenger Side Rear View Mirror,Rear Seat Belts,Adjustable Seats,Crash Sensor,Engine Check Warning,EBD,59 min| DC-18 kW(10-80%),59min | DC-18 kW(10-80%),Navigation System,Dual Tone Body Colour
Tata Tigor EV XZ Plus LUX,"Rs.13,75,000",Sedan,,,73.75bhp,170Nm,,,,Automatic,1-Speed,FWD,Electric,,,ZEV,,MacPherson Strut suspension,Rear twist beam,Electric,Tilt,5.1 m,Disc,Drum,3993 mm,1677 mm,1532 mm,316 Litres,5,2450 mm,1520 mm,,,4,yes,yes,yes,yes,yes,,,,yes,yes,,Rear,,yes,Front,,yes,"ConnectNext Floating Dash - Top Touchscreen Infotainment by HARMAN,HARMAN Sound System,i-pod Connectivity,Phone Book access,Audio Streaming,Incoming SMS Notifications and Read-outs, Call Reject with SMS Feature",,,,yes,,Digital Instrument Cluster with EV Blue Accents,,Leatherette,,,yes,yes,,,yes,,,,Front,,175/65 R14,"Tubeless, Radial",14 Inch,yes,yes,yes,yes,yes,2,yes,yes,,,,,yes,yes,yes,yes,yes,,With Guidedlines,yes,Driver and Passenger,,yes,yes,yes,yes,7 Inch,,yes,Front & Rear,yes,yes,4,,,"Android Auto, Apple CarPlay",,,Shark Fin,4,4,4,3,4,3,3,4,3,3,3,3,4,3,4,4,3,3,2,yes,yes,,,2,,Multi-drive Modes (Drive | Sport),Front & Rear,Front & Rear,,yes,Powered & Folding,,,,yes,,yes,yes,,yes,,,,,,yes,,4 Star,4 Star,,,,,,yes,,,yes,yes,yes,,,,,yes,,yes,,,,26 kWh,55 kW,Permanent Magnet Synchronous,315 km,,Lithium-ion,59 min | 18kWh (10-80%),CCS-II,,9 H 24 min (10 -100%),5.7 s,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,yes,yes,,yes,,,,,,,9H 24min | 3.3 kW (0-100%),yes Yes,4,3.3 kW AC | 7.2 kW AC | 18 kW DC,,,Charging Time,,yes,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fast Charging yes Yes,,,
Tata Tigor XM,"Rs.5,99,990",Sedan,1.2L Revotron,1199 cc,84.48bhp@6000rpm,113Nm@3300rpm,3,4,no,Manual,5-Speed,FWD,Petrol,19.28 kmpl,35 Litres,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,,Tilt,,Disc,Drum,3993 mm,1677 mm,1532 mm,419 Litres,5,2450 mm,,,,4,yes,yes,yes,yes,yes,no,no,yes,yes,no,,Rear,,no,no,yes,,"8.89 cm Infotaiment System by Harman, Phone Book Access",yes,no,yes,yes,,yes,,Fabric,,,no,yes,no,,no,yes,,no,no,Manual,175/65 R14,Radial Tubeless,14 Inch,no,yes,yes,yes,,2,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,,no,yes,Driver and Passenger,no,yes,yes,yes,no,,,yes,Front & Rear,no,no,4,yes,,,,,,,4,4,3,4,3,3,4,3,3,3,3,4,3,4,3,3,2,2,no,no,,,,,,Front & Rear,,,no,Manual,,yes,no,no,no,no,no,no,,,,,,,yes,,3 Star,3 Star,,,no,no,,no,no,no,no,no,no,no,no,no,,,,,,,no,,,,,,,,,,,,,,,,,no,,Hydraulic,,,,no,,no,no,no,no,no,no,no,,no,no,,,,,no,,,no,,no,,,no,,no,,,no,no,no,no,no,no,no,no,,no,,,,,,,,,,,,,no,,,,no,no,no,no,no,no,no,,,,no,,,,no,no,no,no,,no,,no,,,,no,,no,,,no,no,no,no,no,no,,,,,no,no,no,yes,,,,,,,170 mm,,,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata Tigor XT,"Rs.6,69,990",Sedan,1.2L Revotron,1199 cc,84.48bhp@6000rpm,113Nm@3300rpm,3,4,no,Manual,5-Speed,FWD,Petrol,19.28 kmpl,,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,,Tilt,,Disc,Drum,3993 mm,1677 mm,1532 mm,419 Litres,5,2450 mm,,,,4,yes,yes,yes,yes,yes,no,no,yes,yes,no,,Rear,,no,no,no,no,"8.89 cm Infotaiment System by Harman, Phone Book Access",yes,no,yes,yes,,yes,,Fabric,,,no,yes,no,,no,yes,,no,no,Manual,175/65 R14,Radial Tubeless,14 Inch,no,yes,yes,yes,,2,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,,no,yes,Driver and Passenger,no,yes,yes,yes,no,,,yes,Front & Rear,no,no,4,no,,,,,,,4,4,3,4,3,3,4,3,3,3,3,4,3,4,3,3,2,2,no,no,,,,,,,,,no,,,yes,no,no,no,no,no,no,,,,,,,yes,,3 Star,3 Star,,,no,no,,no,no,no,no,no,no,no,no,no,,,,,,,no,,,,,,,,,,,,,,,,,no,,Hydraulic,,,,no,,no,no,no,no,no,no,no,,no,no,,,,,no,,,no,,no,,,no,,no,,,no,no,no,no,no,no,no,no,,no,,,,,,,,,,,,,no,,,,no,no,no,no,no,no,no,,,,no,,,,no,no,no,no,,no,,no,,,,no,,no,,,no,no,no,no,no,no,,,,,no,no,no,yes,,,,,,,170 mm,,,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata Tigor XZ,"Rs.7,29,990",Sedan,1.2L Revotron,1199 cc,84.48bhp@6000rpm,113Nm@3300rpm,3,4,no,Manual,5-Speed,FWD,Petrol,19.28 kmpl,35 Litres,BS VI 2.0,,MacPherson suspension,Rear twist beam,,Tilt,,Disc,Drum,3993 mm,1677 mm,1532 mm,419 Litres,5,2450 mm,,,,4,yes,yes,yes,yes,yes,no,no,yes,yes,yes,,Rear,,no,Front,yes,,"17.78 cm Touchscreen Infotaiment System by Harman, Call Reject with SMS Feature, ConnectNext App Suite, Image & Video Playback, Incoming SMS Notifications & Read Outs, Phone Book Access",yes,no,yes,yes,,yes,,Fabric,,,yes,yes,no,,yes,yes,,no,Front,Electronic,175/65 R14,Radial Tubeless,14 Inch,no,yes,yes,yes,,2,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,,With Guidedlines,yes,Driver and Passenger,no,yes,yes,yes,yes,7 Inch,,yes,Front & Rear,yes,yes,4,yes,,"Android Auto, Apple CarPlay",,,,2,4,4,3,4,3,3,4,3,3,3,3,4,3,4,3,3,3,2,no,no,,,,,,Front & Rear,Front & Rear,,no,Powered,,yes,no,no,no,no,no,no,,,,,,,yes,,3 Star,3 Star,,,no,no,,no,no,no,no,yes,no,no,no,no,,,,,,,no,,,,,,,,,,,,,,,,,no,,Hydraulic,,,,no,,no,no,no,no,no,no,no,,no,no,,,,,no,,,no,,no,,,no,,yes,,,no,no,no,no,no,no,no,no,,no,,,,,,,,,,,,,no,,,,no,no,no,no,no,no,no,,,,no,,,,no,no,no,no,,no,,no,,,,no,,no,,,no,no,no,no,no,no,,,,,no,no,no,yes,,,,,,,170 mm,,,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata Tigor XZ Plus,"Rs.7,89,990",Sedan,1.2L Revotron,1199 cc,84.48bhp@6000rpm,113Nm@3300rpm,3,4,no,Manual,5-Speed,FWD,Petrol,19.28 kmpl,35 Litres,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,,Tilt,,Disc,Drum,3993 mm,1677 mm,1532 mm,419 Litres,5,2450 mm,,,,4,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,,Rear,,yes,Front,yes,,"17.78 cm Touchscreen Infotaiment System by Harman, Call Reject with SMS Feature, ConnectNext App Suite, Image & Video Playback, Incoming SMS Notifications & Read Outs, Phone Book Access, Digital Controls for Automatic Climate Control",yes,yes,yes,yes,,yes,,Leatherette,,,yes,no,yes,,yes,yes,,no,Front,Electronic,175/60 R15,Radial Tubeless,,yes,yes,yes,yes,,2,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,,With Guidedlines,yes,Driver and Passenger,no,yes,yes,yes,yes,7 Inch,,yes,Front & Rear,yes,yes,4,yes,,"Android Auto, Apple CarPlay",15 Inch,15 Inch,,4,4,4,3,4,3,3,4,3,3,3,3,4,3,4,4,3,3,2,yes,yes,,,,,,Front & Rear,Front & Rear,,yes,Powered & Folding,,yes,no,no,no,no,no,no,,,,,,,yes,,3 Star,3 Star,,,no,no,,yes,no,no,yes,yes,yes,no,no,no,,,,,,,no,,,,,,,,,,,,,,,,,no,,Hydraulic,,,,no,,no,no,no,no,no,no,no,,no,no,,,,,no,,,no,,no,,,no,,yes,,,no,no,no,no,no,no,no,no,,no,,,,,,,,,,,,,no,,,,no,no,no,no,no,no,no,,,,no,,,,no,no,no,no,,no,,no,,,,no,,no,,,no,no,no,no,no,no,,,,,no,no,no,yes,,,,,,,170 mm,,,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata Tigor XZ Plus Lux,"Rs.8,49,990",Sedan,1.2L Revotron,1199 cc,84.48bhp@6000rpm,113Nm@3300rpm,3,4,no,Manual,5-Speed,FWD,Petrol,19.28 kmpl,,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,,Tilt,,Disc,Drum,3993 mm,1677 mm,1532 mm,419 Litres,5,2450 mm,,,,4,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,,Rear,,yes,Front,no,no,"17.78 cm Touchscreen Infotaiment System by Harman, Call Reject with SMS Feature, ConnectNext App Suite, Image & Video Playback, Incoming SMS Notifications & Read Outs, Phone Book Access, Digital Controls for Automatic Climate Control",yes,yes,yes,yes,,yes,,Leatherette,,,yes,no,yes,,yes,yes,,no,Front,Electronic,175/60 R15,Radial Tubeless,,yes,yes,yes,yes,,2,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,,With Guidedlines,yes,Driver and Passenger,no,yes,yes,yes,yes,7 Inch,,yes,Front & Rear,yes,yes,4,no,,"Android Auto, Apple CarPlay",15 Inch,15 Inch,,4,4,4,3,4,3,3,4,3,3,3,3,4,3,4,4,3,3,2,yes,yes,,,,,,,,,yes,,,yes,no,no,no,no,no,no,,,,,,,yes,,3 Star,3 Star,,,no,no,,yes,no,no,yes,yes,yes,no,no,no,,,,,,,no,,,,,,,,,,,,,,,,,no,,Hydraulic,,,,no,,no,no,no,no,no,no,no,,no,no,,,,,no,,,no,,no,,,no,,yes,,,no,no,no,no,no,no,no,no,,no,,,,,,,,,,,,,no,,,,no,no,no,no,no,no,no,,,,no,,,,no,no,no,no,,no,,no,,,,no,,no,,,no,no,no,no,no,no,,,,,no,no,no,yes,,,,,,,170 mm,,,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata Tigor XT CNG,"Rs.7,69,990",Sedan,1.2L Revotron,1199 cc,72.41bhp@6000rpm,95Nm@3500rpm,3,4,no,Manual,5-Speed,FWD,CNG,,,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,,Tilt,,Disc,Drum,3993 mm,1677 mm,1532 mm,,5,2450 mm,,,,4,yes,yes,yes,yes,yes,no,no,yes,yes,no,,Rear,,no,no,no,no,"8.89 cm Infotaiment System by Harman, Phone Book Access",yes,no,yes,yes,,yes,,Fabric,,,no,yes,no,,no,yes,,no,no,Manual,175/65 R14,Radial Tubeless,14 Inch,no,yes,yes,yes,,2,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,,no,yes,Driver and Passenger,no,yes,yes,yes,no,,,yes,Front & Rear,no,no,4,no,,,,,,,4,4,3,4,3,3,4,3,3,3,3,4,3,4,3,3,2,2,no,no,,,,,,,,,no,,,yes,no,no,no,no,no,no,,,,,,,yes,,3 Star,3 Star,,,no,no,,no,no,no,no,no,no,no,no,no,,,,,,,no,,,,,,,,,,,,,,,,,no,,,,,,no,,no,no,no,no,no,no,no,,no,no,,,,,no,,,no,,no,,419 Litres,no,,no,,,no,no,no,no,no,no,no,no,,no,26.49 km/kg,,,,,,,,,,,,no,,,,no,no,no,no,no,no,no,,,,no,,,,no,no,no,no,,no,,no,,,,no,,no,,,no,no,no,no,no,no,,,,,no,no,no,yes,,,,,,,165 mm,,,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata Tigor XZ CNG,"Rs.8,29,990",Sedan,1.2L Revotron,1199 cc,72.41bhp@6000rpm,95Nm@3500rpm,3,4,no,Manual,5-Speed,FWD,CNG,,,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,,Tilt,,Disc,Drum,3993 mm,1677 mm,1532 mm,,5,2450 mm,,,,4,yes,yes,yes,yes,yes,no,no,yes,yes,yes,,Rear,,no,Front,yes,,"17.78 cm Touchscreen Infotaiment System by Harman, Call Reject with SMS Feature, ConnectNext App Suite, Image & Video Playback, Incoming SMS Notifications & Read Outs, Phone Book Access",yes,no,yes,yes,,yes,,Fabric,,,yes,yes,no,,yes,yes,,no,Front,Electronic,175/65 R14,Radial Tubeless,14 Inch,no,yes,yes,yes,,2,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,,With Guidedlines,yes,Driver and Passenger,no,yes,yes,yes,yes,7 Inch,,yes,Front & Rear,yes,yes,4,yes,,"Android Auto, Apple CarPlay",,,,2,4,4,3,4,3,3,4,3,3,3,3,4,3,4,3,3,3,2,no,no,,,,,,Front & Rear,Front & Rear,,no,Powered,,yes,no,no,no,no,no,no,,,,,,,yes,,3 Star,3 Star,,,no,no,,no,no,no,no,yes,no,no,no,no,,,,,,,no,,,,,,,,,,,,,,,,,no,,,,,,no,,no,no,no,no,no,no,no,,no,no,,,,,no,,,no,,no,,419 Litres,no,,yes,,,no,no,no,no,no,no,no,no,,no,26.49 km/kg,70 Litres,,,,,,,,,,,no,,,,no,no,no,no,no,no,no,,,,no,,,,no,no,no,no,,no,,no,,,,no,,no,,,no,no,no,no,no,no,,,,,no,no,no,yes,,,,,,,165 mm,,,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata Tigor XZ Plus CNG,"Rs.8,89,990",Sedan,1.2L Revotron,1199 cc,72.41bhp@6000rpm,95Nm@3500rpm,3,4,no,Manual,5-Speed,FWD,CNG,,,BS VI 2.0,,MacPherson suspension,Rear twist beam,,Tilt,,Disc,Drum,3993 mm,1677 mm,1532 mm,,5,2450 mm,,,,4,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,,Rear,,yes,Front,yes,,"17.78 cm Touchscreen Infotaiment System by Harman, Call Reject with SMS Feature, ConnectNext App Suite, Image & Video Playback, Incoming SMS Notifications & Read Outs, Phone Book Access, Digital Controls for Automatic Climate Control",yes,yes,yes,yes,,yes,,Leatherette,,,yes,yes,no,,yes,yes,,no,Front,Electronic,175/65 R14,Radial Tubeless,14 Inch,yes,yes,yes,yes,,2,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,,With Guidedlines,yes,Driver and Passenger,no,yes,yes,yes,yes,7 Inch,,yes,Front & Rear,yes,yes,4,yes,,"Android Auto, Apple CarPlay",,,,4,4,4,3,4,3,3,4,3,3,3,3,4,3,4,4,3,3,2,yes,yes,,,,,,Front & Rear,Front & Rear,,yes,Powered & Folding,,yes,no,no,no,no,no,no,,,,,,,yes,,3 Star,3 Star,,,no,no,,no,no,no,yes,yes,yes,no,no,no,,,,,,,no,,,,,,,,,,,,,,,,,no,,,,,,no,,no,no,no,no,no,no,no,,no,no,,,,,no,,,no,,no,,419 Litres,no,,yes,,,no,no,no,no,no,no,no,no,,no,26.49 km/kg,70 Litres,,,,,,,,,,,no,,,,no,no,no,no,no,no,no,,,,no,,,,no,no,no,no,,no,,no,,,,no,,no,,,no,no,no,no,no,no,,,,,no,no,no,yes,,,,,,,165 mm,,,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata Tigor XZ Plus Lux CNG,"Rs.9,49,990",Sedan,1.2L Revotron,1199 cc,72.41bhp@6000rpm,95Nm@3500rpm,3,4,no,Manual,5-Speed,FWD,CNG,,,BS VI 2.0,,MacPherson Strut suspension,Rear twist beam,,Tilt,,Disc,Drum,3993 mm,1677 mm,1532 mm,,5,2450 mm,,,,4,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,,Rear,,yes,Front,no,no,"17.78 cm Touchscreen Infotaiment System by Harman, Call Reject with SMS Feature, ConnectNext App Suite, Image & Video Playback, Incoming SMS Notifications & Read Outs, Phone Book Access, Digital Controls for Automatic Climate Control",yes,yes,yes,yes,,yes,,Leatherette,,,yes,yes,no,,yes,yes,,no,Front,Electronic,175/65 R14,Radial Tubeless,14 Inch,yes,yes,yes,yes,,2,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,,With Guidedlines,yes,Driver and Passenger,no,yes,yes,yes,yes,7 Inch,,yes,Front & Rear,yes,yes,4,no,,"Android Auto, Apple CarPlay",,,,4,4,4,3,4,3,3,4,3,3,3,3,4,3,4,4,3,3,2,yes,yes,,,,,,,,,yes,,,yes,no,no,no,no,no,no,,,,,,,yes,,3 Star,3 Star,,,no,no,,no,no,no,yes,yes,yes,no,no,no,,,,,,,no,,,,,,,,,,,,,,,,,no,,,,,,no,,no,no,no,no,no,no,no,,no,no,,,,,no,,,no,,no,,419 Litres,no,,yes,,,no,no,no,no,no,no,no,no,,no,26.49 km/kg,,,,,,,,,,,,no,,,,no,no,no,no,no,no,no,,,,no,,,,no,no,no,no,,no,,no,,,,no,,no,,,no,no,no,no,no,no,,,,,no,no,no,yes,,,,,,,165 mm,,,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota Fortuner Legender 4x2 AT,"Rs.44,11,000",SUV,2.8 L Diesel engine,2755 cc,201.15bhp@3000-3400rpm,500Nm@1600-2800rpm,4,4,yes Yes,Automatic,6-Speed with Sequential Shift,2WD,Diesel,,,BS VI 2.0,190  kmph,Double wishbone suspension,Multi-link suspension,Electric,Tilt & Telescopic,5.8 m,Ventilated Disc,Ventilated Disc,4795 mm,1855 mm,1835 mm,,7,2745 mm,,,2610 kg,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Front & Rear,60:40 Split,yes,Front & Rear,,yes,"""Split Quad LED Headlamps with Waterfall LED Line Guide Signature,New Design Split LED Rear Combination Lamps,Sequential Turn Indicators [Fr & Rr.],New Design Front Bumper with Skid Plate,Catamaran Style Front and Rear Bumper,Sleek and Cool Design Theme Grille with Piano Black Highlights,Dual Tone Black Roof,Illuminated Entry System - Puddle Lamps Under Outside Mirror,Chrome Plated Door Handles and Window Beltline,Multi Layer Machine Cut Finish Alloy Wheels,Fully Automatic Power Back Door with Height Adjust Memory and Jam Protection,Aero-Stabilising Fins on ORVM Base and Rear Combination Lamps""",yes,yes,yes,yes,yes,yes,,Leatherette,yes,yes,yes,no,yes,yes,yes,yes,,yes,Front & Rear,Electronic,265/60 R18,"Tubeless,Radial",,yes,yes,yes,yes,yes,7,yes,yes,yes,no,yes,,yes,yes,yes,,yes,yes,With Guidedlines,yes,Driver and Passenger,yes,yes,yes,yes,yes,8 inch,,yes,Front & Rear,yes,yes,11,yes,yes,"Android Auto, Apple CarPlay",18 Inch,18 Inch,,,4,4,3,4,3,3,4,3,3,3,3,5,3,4,4,3,3,3,yes,yes,yes,yes,3,no,ECO / NORMAL / SPORT,,,yes,,,yes,yes,yes,,,,,,,,,,,,yes,,5 Star,,,80 Litres,Front,,yes,yes,yes,,yes,,,,,yes,yes,yes,yes,yes,All Windows,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,yes,,,yes,,,,,,,Direct Injection,296 Litres,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,DOHC,Driver,,,,,,,,,,,,14.4 kmpl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
